Address to use,City,State,Zip,Plus_Four,State,District,Rep_or_Sen,Name,Bio_ID
240 South Montezuma Street,Prescott,AZ,86303,4712,AZ,4,Rep,Paul Gosar,G000565
201 North Front Street,Wilmington,NC,28401,5093,NC,3,Rep,Walter Jones,J000255
1000 West Saint Joseph Street,Lansing,MI,48915,2552,MI,8,Rep,Mike Bishop,B001293
255 East Temple Street,Los Angeles,CA,90012,3334,CA,34,Rep,Xavier Becerra,B000287
100 North Broadway,Oklahoma City,OK,73102,9211,OK,,Sen,James Inhofe,I000024
633 West Wisconsin Avenue,Milwaukee,WI,53203,1918,WI,,Sen,Tammy Baldwin,B001230
6448 Main Street,North Branch,MN,55056,7068,MN,8,Rep,Richard Nolan,N000127
13 Municipal Plaza,Bloomfield,NJ,7003,3470,NJ,10,Rep,Donald Payne,P000604
14955 Dale Evans Parkway,Apple Valley,CA,92307,3061,CA,8,Rep,Paul Cook,C001094
494 State Street,Salem,OR,97301,3830,OR,5,Rep,Kurt Schrader,S001180
170 Westminster Street,Providence,RI,2903,2101,RI,,Sen,John Reed,R000122
1231 Lafayette Avenue,Bronx,NY,10474,5331,NY,15,Rep,Jose Serrano,S000248
7219 Dixie Highway,Louisville,KY,40258,3756,KY,3,Rep,John Yarmuth,Y000062
130 South Main Street,Greenville,SC,29601,4870,SC,,Sen,Tim Scott,S001184
5727 South Lewis Avenue,Tulsa,OK,74105,7146,OK,1,Rep,Jim Bridenstine,B001283
221 Main Street,Hartford,IA,6106,1890,IA,,Sen,Charles Grassley,G000386
7969 Cincinnati Dayton Road,West Chester Township,OH,45069,6637,OH,8,Rep,John Boehner,B000589
200 Administration Road,Oak Ridge,TN,37303,8823,TN,3,Rep,Charles Fleischmann,F000459
90 7th Street,San Francisco,CA,94103,6701,CA,12,Rep,Nancy Pelosi,P000197
2420 Springer Drive,Norman,OK,73069,3965,OK,4,Rep,Tom Cole,C001053
2 Hudson St,Kinderhook,NY,12106,2003,NY,19,Rep,Christopher Gibson,G000564
333 F Street,Chula Vista,TN,91910,2624,TN,,Sen,Bob Corker,C001071
1127 Sherman Street,Denver,CO,80203,2281,CO,,Sen,Michael Bennet,B001267
208 East Bayfront Parkway,Erie,PA,16507,2405,PA,3,Rep,Mike Kelly,K000376
"726 Exchange Street, Suite 601",Buffalo,NY,14210,1433,NY,26,Rep,Brian Higgins,H001038
441 Vine Street,Cincinnati,OH,45202,3003,OH,1,Rep,Steve Chabot,C000266
1800 Thibodo Road,Vista,CA,92081,7515,CA,49,Rep,Darrell Issa,I000056
6544 South General Bruce Drive,Temple,TX,76502,5811,TX,31,Rep,John Carter,C001051
12851 Southwest 42nd Street,Miami,FL,33175,3436,FL,26,Rep,Carlos Curbelo,C001107
62 East 2nd Street,Crossville,TN,38555,4564,TN,6,Rep,Diane Black,B001273
1271 Kelly Johnson Boulevard,Colorado Springs,CO,80920,3965,CO,5,Rep,Doug Lamborn,L000564
216 Nash Street Northwest,Wilson,NC,27893,3802,NC,1,Rep,George Butterfield,B001251
1166 Military Road,Zanesville,OH,43701,1562,OH,12,Rep,Patrick Tiberi,T000462
212 West Main Street,Salisbury,MD,21801,5006,MD,,Sen,Benjamin Cardin,C000141
2201 East Camelback Road,Phoenix,AZ,85016,3431,AZ,,Sen,Jeff Flake,F000444
560 Kirts Boulevard,Troy,MI,48084,4141,MI,11,Rep,Dave Trott,T000475
1301 Kings Highway,Keysville,VA,22901,3136,VA,5,Rep,Robert Hurt,H001060
17926 South Halsted Street,Homewood,IL,60430,2029,IL,2,Rep,Robin Kelly,K000385
2737 78th Avenue Southeast,Mercer Island,WA,98040,2843,WA,9,Rep,Adam Smith,S000510
5790 Margate Boulevard,Margate,FL,33063,3614,FL,21,Rep,Theodore Deutch,D000610
300 Foxcroft Avenue,Martinsburg,WV,25401,5341,WV,2,Rep,Alex Mooney,M001195
120 Washington Street,Watertown,NY,13601,3370,NY,21,Rep,Elise Stefanik,S001196
2 1st Street SE,Auburn,WA,98001,5453,WA,8,Rep,David Reichert,R000578
7975 Stage Hills Boulevard,Memphis,TN,38133,4036,TN,8,Rep,Stephen Fincher,F000458
230 Margie Drive,Warner Robins,GA,31088,7813,GA,8,Rep,Austin Scott,S001189
2250 Las Vegas Blvd. North,North Las Vegas,NV,89030,5877,NV,4,Rep,Cresent Hardy,H001070
2390 Highway 44,Oshkosh,WI,54904,6438,WI,6,Rep,Glenn Grothman,G000576
1011 George Wallace Boulevard,Tuscumbia,AL,35674,1726,AL,4,Rep,Robert Aderholt,A000055
4246 Washington Road,Evans,GA,30809,3087,GA,12,Rep,Rick Allen,A000372
700 Park Avenue,Winona Lake,IN,46590,1066,IN,3,Rep,Marlin Stutzman,S001188
411 West Lincoln Trail Boulevard,Radcliff,KY,40160,2046,KY,2,Rep,Brett Guthrie,G000558
600 Grant Street,Denver,CO,80203,3525,CO,1,Rep,Diana DeGette,D000197
420 College St SE,Lacey,WA,98503,1238,WA,10,Rep,Denny Heck,H001064
1110 East Chapman Avenue,Orange,CA,92866,2145,CA,46,Rep,Loretta Sanchez,S000030
888 Concord Road Southeast,Smyrna,GA,30080,4202,GA,13,Rep,David Scott,S001157
200 Federal Plaza,Paterson,NJ,7505,1953,NJ,9,Rep,Bill Pascrell,P000096
333 N. Fairfax St,Arlington,VA,22314,2647,VA,8,Rep,Donald Beyer,B001292
3116 Capital Circle Northeast,Tallahassee,FL,32308,7791,FL,2,Rep,Gwen Graham,G000575
320 4th Street Southwest,Willmar,MN,56201,3300,MN,7,Rep,Collin Peterson,P000258
485 Alisal Road,Solvang,CA,93463,3701,CA,24,Rep,Lois Capps,C001036
170 Westminster Street,Providence,RI,2903,2101,RI,,Sen,Sheldon Whitehouse,W000802
61 East Main Street,Wilmington,OH,45177,2330,OH,,Sen,Robert Portman,P000449
738 North 5th Avenue,Tucson,AZ,85705,8485,AZ,3,Rep,Ra�l Grijalva,G000551
5000 Van Nuys Boulevard,Los Angeles,CA,91403,1791,CA,30,Rep,Brad Sherman,S000344
501 East Court Street,Jackson,MS,39201,5022,MS,,Sen,Roger Wicker,W000437
221 West Main Street,Prescott,AR,71857,3608,AR,4,Rep,Bruce Westerman,W000821
140 W 6TH ST,San Pedro,CA,90731,3314,CA,44,Rep,Janice Hahn,H001063
1501 North University Avenue,Little Rock,AR,72207,5242,AR,2,Rep,French Hill,H001072
416 Valley View Drive,Scottsbluff,NE,69361,1445,NE,3,Rep,Adrian Smith,S001172
323 West Main Street,Abingdon,VA,24210,2605,VA,9,Rep,H. Griffith,G000568
33 East Broadway Avenue,Meridian,ID,83642,2619,ID,1,Rep,Ra�l Labrador,L000573
4144 North Armenia Avenue,Tampa,FL,33607,6435,FL,14,Rep,Kathy Castor,C001066
118 Adams Street Suite 301,Fairmont,WV,26554,2841,WV,,Sen,Shelley Moore Capito,C001047
100 Northeast Monroe Street,Peoria,IL,61602,1047,IL,17,Rep,Cheri Bustos,B001286
1100 Northeast Interstate 410 Loop,San Antonio,TX,78209,1530,TX,21,Rep,Lamar Smith,S000583
1800 Dual Highway,Hagerstown,MD,21742,6646,MD,6,Rep,John Delaney,D000620
1070 Main Street,Pawtucket,RI,2860,4974,RI,1,Rep,David Cicilline,C001084
706 West Avenue,Jenkintown,PA,19046,2710,PA,13,Rep,Brendan Boyle,B001296
108 Lacey Road,Lacey Township,NJ,8759,1331,NJ,,Sen,Robert Menendez,M000639
901 Wabash Avenue,Terre Haute,IN,47807,3232,IN,8,Rep,Larry Bucshon,B001275
200 North Main Street,Tompkinsville,KY,42167,1548,KY,1,Rep,Ed Whitfield,W000413
101 West Saint John Street,Spartanburg,SC,29306,5167,SC,4,Rep,Trey Gowdy,G000566
300 State Street,New Haven,CT,1105,1711,CT,3,Rep,Rosa DeLauro,D000216
17 Peabody Square,Peabody,MA,1960,5646,MA,6,Rep,Seth Moulton,M001196
400 South Virginia Street,Reno,NV,89501,2116,NV,2,Rep,Mark Amodei,A000369
1717 Newtown Pike,Langhorne,PA,19047,1086,PA,8,Rep,Michael Fitzpatrick,F000451
6 Gramatan Avenue,Mount Vernon,NY,10550,3208,NY,16,Rep,Eliot Engel,E000179
610 Newport Center Drive,Newport Beach,CA,92660,8034,CA,48,Rep,Dana Rohrabacher,R000409
235 South 6th Street,Springfield,IL,62701,1502,IL,13,Rep,Rodney Davis,D000619
14 Hancock Street,Portsmouth,NH,3801,4669,NH,1,Rep,Frank Guinta,G000570
333 F Street,Chula Vista,OR,91910,2624,OR,,Sen,Jeff Merkley,M001176
431 West Broadway Street,Muskogee,OK,74401,6614,OK,2,Rep,Markwayne Mullin,M001190
600 Austin Avenue,Waco,TX,76710,2018,TX,17,Rep,Bill Flores,F000461
221 Main Street,Hartford,IA,6106,1890,IA,,Sen,Joni Ernst,E000295
333 F Street,Chula Vista,CA,91910,2624,CA,51,Rep,Juan Vargas,V000130
1800 North Oak Street,Myrtle Beach,SC,29577,3141,SC,7,Rep,Tom Rice,R000597
9293 Harding Avenue,Surfside,FL,33154,3009,FL,23,Rep,Debbie Wasserman Schultz,W000797
198 3rd Avenue South,Franklin,TN,37064,2518,TN,7,Rep,Marsha Blackburn,B001243
1650 Highway 6,Sugar Land,TX,77478,4921,TX,22,Rep,Pete Olson,O000168
308 Craghead Street,Danville,VA,24541,1470,VA,,Sen,Timothy Kaine,K000384
611 University Avenue,Lubbock,TX,79401,2206,TX,19,Rep,Randy Neugebauer,N000182
33 East Twohig Avenue,San Angelo,TX,76903,6451,TX,11,Rep,K. Conaway,C001062
201 North East Street,Roseboro,NC,92401,1520,NC,7,Rep,David Rouzer,R000603
698 Emerson Street,Palo Alto,CA,94301,1609,CA,18,Rep,Anna Eshoo,E000215
30 Schuyler Place,Morristown,NJ,7960,5193,NJ,11,Rep,Rodney Frelinghuysen,F000372
300 South Main Street,London,KY,40741,1924,KY,,Sen,Mitch McConnell,M000355
PO Box 502 ,Clanton,AL,35046,502,AL,6,Rep,Gary Palmer,P000609
235 North Orange Avenue,Sarasota,FL,34236,8522,FL,16,Rep,Vern Buchanan,B001260
1127 Sherman Street,Denver,CO,80203,2281,CO,,Sen,Cory Gardner,G000562
800 Ship Street,St. Joseph,MI,49085,2182,MI,6,Rep,Fred Upton,U000031
1 Research Boulevard,Starkville,MS,39759,8749,MS,3,Rep,Gregg Harper,H001045
108 Lacey Road,Lacey Township,NM,8759,1331,NM,,Sen,Martin Heinrich,H001046
1231 Lafayette Avenue,Bronx,NY,10474,5331,NY,,Sen,Kirsten Gillibrand,G000555
1019 Pacific Avenue,Tacoma,WA,98402,4486,WA,6,Rep,Derek Kilmer,K000381
405 East 8th Ave,Eugene,OR,97401,2706,OR,4,Rep,Peter DeFazio,D000191
123 Linden Boulevard,Brooklyn,NY,11226,3888,NY,9,Rep,Yvette Clarke,C001067
4959 Palo Verde Street,Montclair,CA,91763,2331,CA,35,Rep,Norma Torres,T000474
1819 Pepperell Parkway,Opelika,IN,36801,5476,IN,,Sen,Joe Donnelly,D000607
61 East Main Street,Wilmington,OH,45177,2330,OH,15,Rep,Steve Stivers,S001187
4322 Wilshire Boulevard,Los Angeles,CA,90010,3794,CA,,Sen,Dianne Feinstein,F000062
16 Common Street,Watertown,MA,2155,6611,MA,5,Rep,Katherine Clark,C001101
222 Mamaroneck Avenue,White Plains,NY,10605,1316,NY,17,Rep,Nita Lowey,L000480
1550 Main Street,Springfield,MA,1103,1422,MA,,Sen,Edward Markey,M000133
221 Main Street,Hartford,ID,6106,1890,ID,,Sen,Michael Crapo,C000880
123 North College Avenue,Fort Collins,CO,80524,2489,CO,2,Rep,Jared Polis,P000598
350 West Burnsville Parkway,Burnsville,MN,55337,2585,MN,2,Rep,John Kline,K000363
120 Bishops Way,Brookfield,WI,53005,6294,WI,5,Rep,F. Sensenbrenner,S000244
1550 Foxlake Drive,Houston,TX,77084,6043,TX,7,Rep,John Culberson,C001048
131 Main Street,Oneida,NY,13421,1641,NY,22,Rep,Richard Hanna,H001051
80-02 Kew Gardens Road,Queens,NY,11415,3605,NY,6,Rep,Grace Meng,M001188
2929 North Central Expressway,Richardson,TX,75080,2000,TX,3,Rep,Sam Johnson,J000174
3000 North Ponce De Leon Boulevard,St. Augustine,FL,32084,8600,FL,,Sen,Marco Rubio,R000595
201 Varick Street,New York,NY,10014,7069,NY,10,Rep,Jerrold Nadler,N000002
510 East Foothill Boulevard,San Dimas,CA,91773,1254,CA,32,Rep,Grace Napolitano,N000179
29 Crafts Street,Newton,MA,2458,1275,MA,4,Rep,Joseph Kennedy,K000379
200 East Broadway Avenue,Maryville,TN,37804,5782,TN,2,Rep,John Duncan,D000533
100 East Michigan Boulevard,Michigan City,IN,46360,3271,IN,1,Rep,Peter Visclosky,V000108
4308 Ridgewood Center Drive,Woodbridge,VA,22192,5307,VA,11,Rep,Gerald Connolly,C001078
119 West Iron Avenue,Salina,KS,67402,2600,KS,1,Rep,Tim Huelskamp,H001057
11900 College Boulevard,Overland Park,KS,66210,3912,KS,,Sen,Jerry Moran,M000934
118 Adams Street Suite 301,Fairmont,WV,26554,2841,WV,,Sen,Joe Manchin,M001183
25 Sweeden Street,Caribou,ME,4736,2503,ME,,Sen,Susan Collins,C001035
635 North 1st Street,San Jose,CA,95112,5110,CA,19,Rep,Zoe Lofgren,L000397
125 Bonnie Lane,Sylva,NC,28779,8552,NC,11,Rep,Mark Meadows,M001187
420 Green Avenue,Orange,TX,77630,5803,TX,36,Rep,Brian Babin,B001291
8700 Auburn Folsom Road,Auburn,CA,95746,8501,CA,4,Rep,Tom McClintock,M001177
6510 Abrams Road,Dallas,TX,75231,7278,TX,5,Rep,Jeb Hensarling,H001036
23 East Front Street,Monroe,MI,48161,2256,MI,7,Rep,Tim Walberg,W000798
201 South 8th Street,St. Joseph,MO,64501,2275,MO,6,Rep,Sam Graves,G000546
1101 Airport Road,Bethlehem,PA,19472,1800,PA,15,Rep,Charles Dent,D000604
10952 Northwest Expressway,Yukon,OK,73099,8214,OK,3,Rep,Frank Lucas,L000491
75 Langley Drive,Lawrenceville,GA,30046,6935,GA,7,Rep,Rob Woodall,W000810
1661 North Swan Road,Tucson,AZ,85712,4051,AZ,2,Rep,Martha McSally,M001197
509 U.S. 82,Greenwood,MS,38930,5030,MS,2,Rep,Bennie Thompson,T000193
7550 Halcyon Summit Drive,Montgomery,AL,36117,7008,AL,2,Rep,Martha Roby,R000591
810 Otsego Avenue,Coshocton,OH,43005,2,OH,7,Rep,Bob Gibbs,G000563
10603 North Hayden Road,Scottsdale,AZ,85260,5571,AZ,6,Rep,David Schweikert,S001183
501 Sycamore Street,Waterloo,IA,50703,4051,IA,1,Rep,Rod Blum,B001294
300 Ala Moana Boulevard,Honolulu,HI,96850,5104,HI,1,Rep,Mark Takai,T000473
1134 7th Street Northwest,Rochester,MN,55901,1732,MN,1,Rep,Timothy Walz,W000799
305 West Main Street,Murfreesboro,TN,37130,3547,TN,4,Rep,Scott DesJarlais,D000616
1801 Kingwood Drive,Humble,TX,77339,3058,TX,2,Rep,Ted Poe,P000592
265 New Dorp Lane,Staten Island,NY,10306,3005,NY,11,Rep,Michael Grimm,G000569
110 Veterans Memorial Boulevard,Metairie,LA,70005,4970,LA,1,Rep,Steve Scalise,S001176
100 West Broadway,Long Beach,CA,90802,4486,CA,47,Rep,Alan Lowenthal,L000579
51 South University Avenue,Provo,UT,84601,4424,UT,,Sen,Orrin Hatch,H000338
1651 3rd Avenue,New York,NY,10128,3679,NY,12,Rep,Carolyn Maloney,M000087
32 Main Street,Burlington,VT,5401,4072,VT,0,Rep,Peter Welch,W000800
10 Casia Street,San Juan,PR,921,3201,PR,0,Rep,Pedro Pierluisi,P000596
1313 Southeast Military Drive,San Antonio,TX,78214,2850,TX,35,Rep,Lloyd Doggett,D000399
300 State Street,Springfield,MA,1105,1686,MA,1,Rep,Richard Neal,N000015
2 Court St,Plymouth,MA,2360,3347,MA,9,Rep,William Keating,K000375
108 Lacey Road,Lacey Township,NJ,8759,1331,NJ,,Sen,Cory Booker,B001288
402 East Yakima Avenue,Yakima,WA,98901,5410,WA,4,Rep,Dan Newhouse,N000189
209 South Washington Street,Marion,IN,46952,3803,IN,5,Rep,Susan Brooks,B001284
3235 147th Street,Midlothian,IL,60445,3656,IL,,Sen,Mark Kirk,K000360
110 2nd Street South,Waite Park,MN,56387,1313,MN,6,Rep,Tom Emmer,E000294
2021 Lakeshore Drive,New Orleans,LA,70122,3501,LA,,Sen,David Vitter,V000127
258 Front Street,Marietta,OH,45750,2908,OH,6,Rep,Bill Johnson,J000292
300 Garden City Plaza,Garden City,NY,11530,3338,NY,4,Rep,Kathleen Rice,R000602
2021 Lakeshore Drive,New Orleans,LA,70122,3501,LA,2,Rep,Cedric Richmond,R000588
516 Jefferson Street,Washington,MO,63090,2706,MO,3,Rep,Blaine Luetkemeyer,L000569
100 South Clinton Street,Syracuse,NY,13261,6100,NY,24,Rep,John Katko,K000386
1011 George Wallace Boulevard,Tuscumbia,AR,35674,1726,AR,,Sen,John Boozman,B001236
500 State Avenue,Kansas City,KS,66101,2409,KS,3,Rep,Kevin Yoder,Y000063
1589 Elm Street,Manchester,NH,3101,1261,NH,,Sen,Jeanne Shaheen,S001181
1456 Ebenezer Road,Rock Hill,SC,29732,2339,SC,5,Rep,Mick Mulvaney,M001182
221 Main Street,Hartford,CT,6106,1890,CT,1,Rep,John Larson,L000557
911 Main Street,Kansas City,MO,64105,2009,MO,,Sen,Roy Blunt,B000575
11 Duff Road,Pittsburgh,PA,15235,3263,PA,14,Rep,Michael Doyle,D000482
600 Baltimore Avenue,Towson,MD,21204,4022,MD,3,Rep,John Sarbanes,S001168
308 Craghead Street,Danville,VA,24541,1470,VA,,Sen,Mark Warner,W000805
311 East Marion Street,Shelby,NC,28151,4611,NC,10,Rep,Patrick McHenry,M001156
1125 Chapline Street,Wheeling,WV,26003,2976,WV,1,Rep,David McKinley,M001180
127 West Spring Street,Titusville,PA,16354,1727,PA,5,Rep,Glenn Thompson,T000467
4160 Temescal Canyon Rd,Corona,CA,92883,4625,CA,42,Rep,Ken Calvert,C000059
2675 North Ventura Road,Port Hueneme,CA,93041,2045,CA,26,Rep,Julia Brownley,B001285
41000 Main St.,Temecula,CA,92590,2764,CA,50,Rep,Duncan Hunter,H001048
1550 Main Street,Springfield,MA,1103,1422,MA,,Sen,Elizabeth Warren,W000817
425 North Avenue East,Westfield,NJ,7090,1537,NJ,7,Rep,Leonard Lance,L000567
324 East 2500 South,Ogden,UT,84401,2361,UT,1,Rep,Rob Bishop,B001250
1313 West Main Street,Rapid City,SD,57701,2540,SD,,Sen,John Thune,T000250
27085 Gratiot Avenue,Roseville,MI,48066,2947,MI,9,Rep,Sander Levin,L000263
701 Green Valley Rd,Greensboro,NC,27408,7040,NC,,Sen,Thom Tillis,T000476
5500 Palisades Avenue,Battlefield,MO,7093,2124,MO,7,Rep,Billy Long,L000576
1003 Park Boulevard,Massapequa Park,NY,11762,2758,NY,2,Rep,Peter King,K000210
230 East Franklin Street,Rockingham,NC,28379,3627,NC,8,Rep,Richard Hudson,H001067
2603 Wheat Drive,Bozeman,MT,56750,4800,MT,0,Rep,Ryan Zinke,Z000018
136 E South Temple,Salt Lake City,UT,84111,1180,UT,2,Rep,Chris Stewart,S001192
PO Box 2381 ,West Columbia,SC,29171,2381,SC,2,Rep,Joe Wilson,W000795
16 James Street,Middletown,NY,10940,5787,NY,18,Rep,Sean Maloney,M001185
9901 Valley Ranch Parkway East,Irving,TX,75063,7186,TX,24,Rep,Kenny Marchant,M001158
1800 East Lambert Road,Brea,CA,92821,4396,CA,39,Rep,Edward Royce,R000487
1660 Stemmons Freeway,Lewisville,TX,75067,600,TX,26,Rep,Michael Burgess,B001248
115 State Street,Montpelier,VT,5602,2719,VT,,Sen,Patrick Leahy,L000174
18 North Main Street,Concord,NH,3301,2424,NH,2,Rep,Ann Kuster,K000382
2100 Plymouth Avenue North,Minneapolis,MN,55411,3675,MN,5,Rep,Keith Ellison,E000288
10100 Pines Boulevard,Pembroke Pines,FL,33026,6040,FL,24,Rep,Frederica Wilson,W000808
6000 Meadowbrook Mall Court,Clemmons,NC,27012,8775,NC,5,Rep,Virginia Foxx,F000450
220 East Rosser Avenue,Bismarck,ND,58501,3869,ND,,Sen,John Hoeven,H001061
8021 West Florissant Avenue,Jennings,MO,63136,1449,MO,1,Rep,Wm. Clay,C001049
915 2nd Avenue,Seattle,WA,98174,1009,WA,,Sen,Patty Murray,M001111
135 Ashman Street,Midland,MI,48640,5103,MI,4,Rep,John Moolenaar,M001194
35111 US Highway 19 North,Palm Harbor,FL,34684,1934,FL,12,Rep,Gus Bilirakis,B001257
1701 River Run Road,Fort Worth,TX,76107,6529,TX,12,Rep,Kay Granger,G000377
8436 West 3rd Street,Los Angeles,CA,90048,4183,CA,33,Rep,Ted Lieu,L000582
324 East Washington Avenue,Riverton,WY,82001,4353,WY,,Sen,John Barrasso,B001261
207 North Gilbert Road,Gilbert,AZ,85234,5812,AZ,5,Rep,Matt Salmon,S000018
701 Green Valley Rd,Greensboro,NC,27408,7040,NC,,Sen,Richard Burr,B001135
3333 South Pinnacle Hills Parkway,Rogers,AR,72758,8979,AR,3,Rep,Steve Womack,W000809
#1 Estate Cane,St. Croix,VI,840,4425,VI,0,Rep,Stacey Plaskett,P000610
820 Davis Street,Evanston,IL,60201,4400,IL,9,Rep,Janice Schakowsky,S001145
2000 Market Street,Philadelphia,PA,19103,3231,PA,,Sen,Robert Casey,C001070
100 East Main Cross Street,Findlay,OH,45840,4888,OH,5,Rep,Robert Latta,L000566
241 West Federal Street,Youngstown,OH,44503,1207,OH,13,Rep,Tim Ryan,R000577
20 North Gallatin Avenue,Uniontown,PA,15401,3545,PA,9,Rep,Bill Shuster,S001154
11717 Burt Street,Omaha,NE,68154,1500,NE,2,Rep,Brad Ashford,A000373
1121 East Southeast Loop 323,Tyler,TX,75701,9660,TX,1,Rep,Louie Gohmert,G000552
990 Village Square Drive,Tomball,TX,77375,4269,TX,10,Rep,Michael McCaul,M001157
1805 East Ruben M Torres Sr Boulevard,Brownsville,TX,78521,1115,TX,34,Rep,Filemon Vela,V000132
411 North Central Avenue,Phoenix,AZ,85004,2120,AZ,7,Rep,Ruben Gallego,G000574
540 Water Street,Ketchikan,AK,99901,6378,AK,0,Rep,Don Young,Y000033
205 5th Avenue South,La Crosse,WI,54601,4059,WI,3,Rep,Ron Kind,K000188
PO Box 504879 ,Capitol Hill,MP,96950,4310,MP,0,Rep,Gregorio Sablan,S001177
4350 Executive Drive,San Diego,CA,92121,2115,CA,52,Rep,Scott Peters,P000608
207 East Colfax Avenue,South Bend,IN,46601,1606,IN,2,Rep,Jackie Walorski,W000813
2222 Grand Canal Boulevard,Stockton,CA,95207,6671,CA,9,Rep,Jerry McNerney,M001166
750 Anderson Street,Vancouver,WA,98661,3853,WA,3,Rep,Jaime Herrera Beutler,H001056
167 North Main Street,Memphis,TN,38103,1822,TN,9,Rep,Steve Cohen,C001068
107 Old Airport Road,Douglassville,PA,30474,8840,PA,7,Rep,Patrick Meehan,M001181
100 North Broadway,Oklahoma City,OK,73102,9211,OK,,Sen,James Lankford,L000575
300 South Main Street,London,KY,40741,1924,KY,,Sen,Rand Paul,P000603
6043 Hudson Road,Woodbury,MN,55125,1004,MN,4,Rep,Betty McCollum,M001143
401 Post Office Road,Waldorf,MD,20602,2738,MD,5,Rep,Steny Hoyer,H000874
3003 32nd Avenue South,Fargo,ND,58103,6163,ND,0,Rep,Kevin Cramer,C001096
7904 Day Drive,Parma,OH,44129,5637,OH,16,Rep,James Renacci,R000586
3000 North Ponce De Leon Boulevard,St. Augustine,FL,32084,8600,FL,6,Rep,Ron DeSantis,D000621
1797 West State Street,Geneva,IL,60134,4710,IL,14,Rep,Randy Hultgren,H001059
300 East Fall Creek Parkway North Drive,Indianapolis,IN,46205,4258,IN,7,Rep,Andre Carson,C001072
6719 West Montgomery Road,Houston,TX,77091,3105,TX,18,Rep,Sheila Jackson Lee,J000032
600 I Street,Sacramento,CA,95814,4778,CA,6,Rep,Doris Matsui,M001163
5001 Silver Hill Road,Suitland-Silver Hill,MD,20746,5208,MD,4,Rep,Donna Edwards,E000290
11 East Main Street,Norwalk,OH,44857,1512,OH,4,Rep,Jim Jordan,J000289
1 2nd Street,Calamus,IA,8861,4517,IA,2,Rep,David Loebsack,L000565
122 West Way Street,Lake Jackson,TX,77566,5245,TX,14,Rep,Randy Weber,W000814
4716 East Cesar E Chavez Avenue,East Los Angeles,CA,90022,1210,CA,40,Rep,Lucille Roybal-Allard,R000486
1300 Saint Marys Street,Raleigh,NC,27605,1276,NC,13,Rep,George Holding,H001065
613 Saint Johns Avenue,Palatka,FL,32177,4643,FL,5,Rep,Corrine Brown,B000911
18560 1st Avenue Northeast,Shoreline,WA,98155,2150,WA,7,Rep,Jim McDermott,M000404
PO Box 7248,Pago Pago,AS,96799,6296,AS,0,Rep,Aumua Amata,R000600
